domanda,rispostaA,rispostaB,rispostaC,corretta
Il diritto di accesso documentale è riconosciuto:,"A chiunque abbia un interesse diretto, concreto e attuale  <-- Risposta corretta",A qualsiasi cittadino,Solo ai dipendenti pubblici,A
Il FOIA (Freedom of Information Act) è stato introdotto in Italia con:,La Costituzione,Il D.lgs. 97/2016  <-- Risposta corretta,Il D.lgs. 33/2013,B
L’accesso civico generalizzato si distingue da quello semplice perché:,"Consente l’accesso a dati ulteriori, non obbligatoriamente pubblicati  <-- Risposta corretta",È riservato ai giornalisti,Richiede l’autorizzazione del prefetto,A
L’accesso ai documenti amministrativi è regolato da:,Legge 241/1990  <-- Risposta corretta,DPR 445/2000,Legge 104/1992,A
Il rifiuto all’accesso deve essere sempre:,Motivato  <-- Risposta corretta,Confermato dal giudice,Orale,A
L’accesso agli atti può essere negato per:,"Esigenze di riservatezza, sicurezza e ordine pubblico  <-- Risposta corretta",Motivi economici,Scarsa rilevanza,A
Il responsabile della trasparenza è:,Una figura prevista dalla legge anticorruzione  <-- Risposta corretta,Il segretario comunale,Il presidente dell’organo di controllo,A
L’accesso documentale deve essere esercitato entro:,30 giorni dalla conoscenza dell’atto  <-- Risposta corretta,10 giorni dall’emissione,60 giorni dal protocollo,A
L’obbligo di motivazione dell’atto amministrativo è previsto da:,Art. 3 della Legge 241/1990  <-- Risposta corretta,Art. 1 della Costituzione,Codice civile,A
La motivazione dell’atto amministrativo deve indicare:,I presupposti di fatto e le ragioni giuridiche della decisione  <-- Risposta corretta,Solo il nome del responsabile,La firma del dirigente,A
La comunicazione di avvio del procedimento è prevista per garantire:,La partecipazione degli interessati  <-- Risposta corretta,L’efficacia del provvedimento,La pubblicità legale,A
Il responsabile del procedimento è:,Colui che cura l’istruttoria e adotta il provvedimento finale  <-- Risposta corretta,Il dirigente dell’ufficio legale,Un soggetto esterno,A
Il silenzio-assenso si verifica quando:,L’amministrazione non risponde entro i termini previsti  <-- Risposta corretta,L’amministrazione esprime parere negativo,Si convoca una conferenza di servizi,A
Il diritto di partecipazione al procedimento spetta:,Ai soggetti direttamente interessati dall’atto  <-- Risposta corretta,Ai soli dipendenti pubblici,Ai responsabili anticorruzione,A
Il preavviso di rigetto serve a:,Consentire all’interessato di presentare osservazioni prima del provvedimento negativo  <-- Risposta corretta,Comunicare la decisione all’autorità gerarchica,Attivare il giudizio ordinario,A
La conferenza di servizi è uno strumento per:,Coordinare le diverse amministrazioni coinvolte  <-- Risposta corretta,Attribuire incarichi interni,Valutare l’impatto ambientale,A
Il provvedimento finale deve essere:,Notificato agli interessati  <-- Risposta corretta,Solo pubblicato in albo,Registrato in segreteria,A
La validità del provvedimento amministrativo dipende:,Dalla legittimità e dalla competenza dell’organo che lo emette  <-- Risposta corretta,Dalla durata dell’istruttoria,Dal consenso dell’interessato,A
I provvedimenti amministrativi sono atti dotati:,Di efficacia normativa,"Di efficacia esterna, tipici e nominati, destinati a modificare situazioni giuridiche in modo autoritativo  <-- Risposta corretta","Di efficacia interna, atipici e destinati a modificare situazioni giuridiche in modo non autoritativo",B
Il provvedimento amministrativo:,Contiene norme generali e astratte,Costituisce una fonte del diritto,Dispone nei confronti di uno o più soggetti determinati o determinabili  <-- Risposta corretta,C
L’esecutività del provvedimento amministrativo:,È la capacità del provvedimento di produrre immediatamente effetti sul destinatario  <-- Risposta corretta,È la possibilità giuridica e di fatto di eseguire un provvedimento,"È l’idoneità del provvedimento ad essere coattivamente eseguito dalla PA, senza dover ricorrere ad un giudice",A
L’atto amministrativo annullabile:,È immediatamente efficace e può essere caducato solo a seguito di tempestiva impugnazione giudiziale  <-- Risposta corretta,È insuscettibile di produrre effetti,Non può essere sanato o convalidato,A
Il provvedimento amministrativo privo di elementi essenziali è:,Nullo  <-- Risposta corretta,Irregolare,Annullabile,A
L’eccesso di potere:,È un vizio di merito dell’atto amministrativo,È un vizio di legittimità dell’atto amministrativo  <-- Risposta corretta,È un vizio di legittimità dell’atto amministrativo per violazione di legge,B
Il ricorso gerarchico è un ricorso:,In regime di autotutela,Giurisdizionale,Amministrativo  <-- Risposta corretta,C
Il ricorso straordinario al Presidente della Repubblica è:,Esperibile dopo la pronuncia del GA,Esperibile nei casi in cui si ritiene il provvedimento impugnato viziato per motivi di merito,Alternativo al ricorso davanti al GA  <-- Risposta corretta,C
Di norma ci si rivolge al GA nel caso di lesione:,Di un interesse legittimo  <-- Risposta corretta,Di un diritto assoluto,Di un diritto soggettivo,A
Nel nostro ordinamento giuridico è giudice amministrativo di primo grado il:,Consiglio di Stato,Giudice di Pace,TAR  <-- Risposta corretta,C
L’attività della PA:,"Può essere discrezionale o vincolata, a seconda dei casi  <-- Risposta corretta",È sempre vincolata,È sempre discrezionale,A
"La discrezionalità amministrativa, ossia la libera scelta dell’amministrazione:",Implica l’individuazione da parte del privato del criterio che la PA dovrà seguire nell’effettuare una,"Implica l’individuazione di un criterio dato dalla comparazione di più interessi secondari, pubblici e privati, in ordine ad un interesse pubblico da perseguire  <-- Risposta corretta",Non richiede da parte della PA l’individuazione di un criterio da seguire nella scelta,B
"Quando la PA pone in essere valutazioni discrezionali, nell’operare il sacrificio degli interessi secondari occorre vengano rispettati i seguenti canoni di:","Efficienza, imparzialità e buona amministrazione  <-- Risposta corretta","Rapidità, segretezza e buona amministrazione","Efficienza, tassatività e parzialità",A
Il potere discrezionale della P.A. può intervenire sui seguenti aspetti:,"Chi, come, dove, quando","Chi, cosa, come, dove","Se, cosa, come, quando  <-- Risposta corretta",C
La violazione dei limiti all’esercizio del potere discrezionale rende l’atto:,Inopportuno,Illegittimo  <-- Risposta corretta,Inqualificabile,B
La discrezionalità tecnica indica la facoltà della scelta della P.A.:,Tra più soluzioni normative prospettabili in relazione all’adozione di un determinato provvedimento,Tra più soluzioni politiche prospettabili in relazione all’adozione di un determinato provvedimento,Tra più soluzioni tecniche prospettabili in relazione all’adozione di un determinato provvedimento  <-- Risposta corretta,C
Viene accertato un illecito: la PA adotta automaticamente un ordine di demolizione. L’attività svolta è:,Discrezionale,Libera,Vincolata  <-- Risposta corretta,C
Il procedimento amministrativo è una sequenza:,"Di atti, attività e comportamenti  <-- Risposta corretta",Di prassi e comportamenti concludenti,Esclusivamente di atti e attività,A
La fase istruttoria nel procedimento amministrativo:,Consiste nell’insieme di attività poste in essere dall’autorità procedente al fine di acquisire gli elementi necessari per la decisione  <-- Risposta corretta,"È l’insieme delle operazioni successive all’atto finale, necessarie affinché questo divenga efficace",Consiste nell’adozione dell’atto finale,A
"In mancanza di diverse disposizioni di legge o di regolamento, il termine per la conclusione del procedimento amministrativo è:",180 giorni,90 giorni,30 giorni  <-- Risposta corretta,C
Il fondamento giuridico del diritto di accesso va individuato nel principio di:,Differenziazione,Trasparenza  <-- Risposta corretta,Decentramento,B
Per “diritto di accesso” si intende il diritto degli interessati di:,Prendere visione ed estrarre copia dei documenti amministrativi  <-- Risposta corretta,Esperire un rimedio amministrativo,Ricorrere in giudizio,A
Al fine di esercitare il diritto di accesso agli atti occorre la titolarità di un interesse:,"Eventuale, indiretto, astratto",Futuro e incerto,"Attuale, diretto, concreto  <-- Risposta corretta",C
Ai sensi della legge 241/90 oggetto del diritto di accesso sono:,Solo gli atti finali del procedimento amministrativo,Anche atti non più o non ancora esistenti,Anche gli atti interni al procedimento amministrativo  <-- Risposta corretta,C
Sono esclusi dal diritto di accesso:,Tutti i tipi di provvedimenti amministrativi,Gli atti detenuti da una PA e concernenti attività di pubblico interesse,Di norma i documenti coperti da segreto di Stato  <-- Risposta corretta,C
"L’interessato, al fine di esaminare o estrarre copia dei documenti amministrativi:",Non deve formulare alcuna richiesta,Deve formulare una richiesta motivata  <-- Risposta corretta,Deve formulare una richiesta generica,B
"Nel caso di accesso a dati sensibili e giudiziari, il diritto di accesso è consentito:",Mai,Sempre,In base alla valutazione relativa all’indispensabilità dell’accesso ai fini della tutela della posizione del richiedente  <-- Risposta corretta,C
Per dati sensibilissimi si intendono i:,Dati di natura giudiziaria,Dati anagrafici,Dati idonei a rivelare lo stato di salute o la vita sessuale  <-- Risposta corretta,C
"Decorsi 30 giorni dalla richiesta di accesso, questa si deve intendere:",Ancora in fase di valutazione,Accolta,Respinta  <-- Risposta corretta,C
LA PA può differire l’esercizio del diritto di accesso:,No,"Sì, motivando il differimento  <-- Risposta corretta","Sì, senza fornire spiegazioni",B
L’illecito penale è:,Un fatto naturale contrario all’ordinamento giuridico,Un fatto umano contrario all’ordinamento giuridico  <-- Risposta corretta,Un fatto umano contrario all’ordinamento morale,B
Il principio di legalità in diritto penale prevede che:,La norma deve prevedere solo il precetto,La norma deve prevedere sia la sanzione che il precetto  <-- Risposta corretta,La norma deve stabilire solo il tipo di sanzione,B
Per il principio di tassatività in diritto penale:,La norma può essere redatta anche non in maniera chiara purché comprensibile,La norma deve essere stabilita con legge statale,La norma deve essere redatta in maniera chiara e non deve dare adito a dubbi  <-- Risposta corretta,C
Il principio di tipicità in diritto penale richiede che:,La fattispecie concreta coincida perfettamente con la fattispecie legalizzata  <-- Risposta corretta,La norma non sia retroattiva,La norma contenga solo elementi normativi,A
Per il principio di offensività in diritto penale:,"Se l'azione umana non realizza un evento di danno, non è punibile","L'azione umana può essere punita pur se rimane a livello intenzionale, senza realizzare un danno o un pericolo",L'azione umana deve realizzare una lesione del bene giuridico tutelato o quanto meno metterlo in pericolo  <-- Risposta corretta,C
L’ammenda è:,Una sanzione penale pecuniaria  <-- Risposta corretta,Un risarcimento del danno civile,Un ammonimento,A
Il reato si distingue in:,"Delitti, contravvenzioni ed illeciti amministrativi","Delitti, illeciti amministrativi e multe",Delitti e contravvenzioni  <-- Risposta corretta,C
L'illecito civile ha come conseguenza sanzionatoria:,Il pagamento di una ammenda,Il pagamento di una somma di denaro di tipo risarcitorio/riparatorio  <-- Risposta corretta,Il pagamento di una multa,B
L'illecito disciplinare è:,Un illecito amministrativo  <-- Risposta corretta,Un illecito civile,Un illecito penale,A
L'oblazione estingue:,Il CSM,L’ANAC <-- Risposta corretta,L’ENAV,B
"Ciascuna Amministrazione ha l’obbligo di adottare un proprio Codice Interno di Comportamento:
A) Non sussiste alcun obbligo al riguardo",,Ad integrazione degli obblighi e dei doveri contenuti nel Codice Generale di Comportamento adottato con il D.P.R. n.62 del 2013  <-- Risposta corretta,Le Amministrazioni possono in alternativa adottare un Codice Etico,B
"Il Codice di Comportamento dell’Amministrazione dell’Interno si applica integralmente:
A) A tutto il personale dell’Amministrazione",,"Al personale civile dell’Amministrazione, ai collaboratori ed ai consulenti dell’Amministrazione, ai collaboratori delle imprese fornitrici di beni e servizi o che realizzano opere in favore dell’Amministrazione  <-- Risposta corretta",Al solo al personale “civile”,B
"Il Patto di integrità del Ministero dell’Interno si applica:
A) Alle sole procedure di gara sopra soglia",,Alle sole procedure sotto soglia,"A tutte le procedure di gara bandite dall’Amministrazione, sopra e sotto soglia  <-- Risposta corretta",C
"Il Patto di integrità del Ministero dell’Interno prevede obblighi di comportamento:
A) Per le sole imprese partecipanti alle procedure di gara",,Sia per le imprese partecipanti alle procedure di gara sia per la Stazione Appaltante  <-- Risposta corretta,Sole per la stazione appaltante,B
Il “whistleblowing” è:,Un sistema di comunicazione tra i Responsabili della Prevenzione della Corruzione,Un sistema informatico per la rilevazione dei reati di corruzione,Un istituto di prevenzione della corruzione mutuato dall’esperienza dei Paesi anglosassoni  <-- Risposta corretta,C
"La tutela dell’identità del whistleblower è assicurata:
A) Tramite sistemi informatici che garantiscono la riservatezza del denunciante  <-- Risposta corretta",,Tramite l’accettazione di segnalazioni in forma anonima,Attraverso la presentazione di segnalazioni sotto falso nome,
"Il Responsabile della Prevenzione della Corruzione e della Trasparenza:
A) È responsabile penalmente dei reati di corruzione perpetuati nella propria Amministrazione",,Vigila sull’efficacia e sull’osservanza del Piano Triennale per la Prevenzione della Corruzione e delle misure di prevenzione in esso indicate  <-- Risposta corretta,Eroga sanzioni pecuniarie nei confronti del personale che viola il Codice di Comportamento,B
"Le Linee guida in materia di tutela del dipendente pubblico che segnala un’irregolarità adottate dall’ANAC con la determinazione n. 6 del 28 aprile 2015:
A) Promuovono l'applicazione di adeguati sistemi di whistleblowing presso tutte le Amministrazioni, individuando, al contempo, criteri idonei per la tutela omogenea del segnalatore  <-- Risposta corretta",,Prendono atto del mancato ricorso all’istituto del Whistleblowing,Prevedono la segretezza dell’identità del segnalatore,
"La rotazione del personale maggiormente esposto al rischio corruttivo si definisce:
A) Rotazione Ordinaria  <-- Risposta corretta",,Rotazione Speciale,Rotazione Straordinaria,
"La misura della rotazione del personale:
A) È soggetta a vincoli di natura soggettiva ed oggettiva  <-- Risposta corretta",,Non è soggetta ad alcun vincolo,È soggetta ai soli vincoli di natura oggettiva,
"Quante sono le fasi dell’iter criminis?
A) sei",,quattro  <-- Risposta corretta,tre,B
"Qual è l’elemento soggettivo del delitto tentato?
A) il dolo  <-- Risposta corretta",,la preterintenzione,la colpa,
"Come è punito il delitto tentato rispetto al delitto consumato?
A) meno severamente  <-- Risposta corretta",,non sono previste differenze di pena,più severamente,
"Le circostanze del reato che tipo di elementi sono rispetto al reato-base?
A) ininfluenti",,costitutivi,accessori  <-- Risposta corretta,C
"Quali caratteristiche ha l’idoneità degli atti nel tentativo?
A) concreta",,astratta e assoluta,concreta e relativa  <-- Risposta corretta,C
Che tipo di variazione di pena causano le circostanze ad effetto speciale?,superiore ad un terzo  <-- Risposta corretta,di un terzo,di un quarto,A
Qual è il regime di imputazione delle circostanze attenuanti?,oggettivo  <-- Risposta corretta,soggettivo,misto,A
Che tipo di vincolo lega i concorrenti nel concorso di persone?,occasionale  <-- Risposta corretta,stabile,costante,A
Con quante condotte si realizza il concorso formale di reati?,tre condotte,due condotte,con una sola condotta  <-- Risposta corretta,C
"Sul piano sanzionatorio, quale regola si applica al reato continuato?",cumulo materiale,cumulo giuridico  <-- Risposta corretta,entrambi,B
"Nelle ipotesi di aberratio ictus, il titolo di imputazione soggettiva del",preterintenzionale,colposo,doloso &lt;-- Risposta corretta,C
"Nell’uso legittimo delle armi, la proporzione è un requisito:",implicitamente deducibile dalla disposizione &lt;-- Risposta corretta,Non richiesto dalla fattispecie,ritenuto necessario da parte della dottrina minoritaria,A
È una scriminante propria:,Uso legittimo delle armi &lt;-- Risposta corretta,Legittima difesa,Adempimento di un dovere,A
L’errore su legge extrapenale:,Ha rilevanza laddove si traduca in un errore sul fatto tipico &lt;-- Risposta corretta,Ha rilevanza in quanto la pena è diminuita di un terzo,Non ha alcuna rilevanza in quanto è un errore sul precetto,A
Quale elemento fanno venire meno le cause di giustificazione?,Colpevolezza,Tipicità,Antigiuridicità &lt;-- Risposta corretta,C
La scriminante del consenso dell’avente diritto può applicarsi rispetto,Diritti indisponibili,Diritti disponibili &lt;-- Risposta corretta,Diritti che coinvolgano interessi statali,B
"L’agente provocatore, secondo la giurisprudenza, non risponde in",Manca il dolo di partecipazione nel reato,Il fatto non è tipico,Scriminato ai sensi dell&#39;art. 51 c.p. &lt;-- Risposta corretta,C
Nella legittima difesa è richiesto che il pericolo sia:,Dimostrato,Probabile,Attuale &lt;-- Risposta corretta,C
In caso di esecuzione di un ordine del superiore manifestamente,Risponde del reato solo se è previsto dalla legge come delitto,Non risponde del reato commesso se ha notiziato i suoi superiori per iscritto,Risponde del reato commesso &lt;-- Risposta corretta,C
Si può fare ricorso allo stato di necessità in caso di:,Pericolo attuale di grave danno alla persona &lt;-- Risposta corretta,Pericolo attuale di un offesa ingiusta,"Pericolo attuale di un offesa a beni personali o patrimoniali, se di elevato valore",A
L’uso legittimo delle armi rappresenta:,Una causa soggettiva di esclusione del reato,Una causa di giustificazione o scriminante,Una fattispecie di reato,
Destinatari dell’uso legittimo delle armi possono essere:,,,,
Ai militari in servizio di pubblica sicurezza si applica l’art. 53 Cod. Pen.?,,,,
La fuga del malvivente che ha appena commesso un grave reato:,,,,
Il semplice mancato arresto all’alt della Polizia:,,,,
Il concetto di “necessità”:,,,,
La nozione di flagranza del reato indicata nel Codice di Procedura Penale,,,,
"Quando un appartenente alla Polizia di Stato deve procedere all’arresto obbligatorio di un malvivente, ai sensi dell’art. 380 Cod. Proc. Pen.:",,,,
"Nel corso di una rapina, un malvivente prende in ostaggio una persona, se ne fa scudo e la minaccia con un’arma:",,,,
Sparare in aria a scopo intimidatorio:,,,,
Sono pubblici ufficiali,"Coloro i quali esercitano una pubblica funzione legislativa, giudiziaria o amministrativa.",Tutti gli appartenenti alla P.A.,Solamente coloro che esercitano una pubblica funzione amministrativa,
Un senatore della Repubblica,è incaricato di pubblico servizio,non è né Pubblico Ufficiale né Incaricato di Pubblico Servizio,è pubblico ufficiale nell’esercizio della sua funzione.,
L’elemento soggettivo nel peculato è previsto:,indifferentemente sia nella forma dolosa che in quella colposa,solo nella forma dolosa.,solo nella forma colposa.,
L’usciere di un ospedale pubblico è:,pubblico ufficiale,esercente un servizio di pubblica necessità,non riveste alcuna delle predette qualifiche,
Un Agente della Polizia di Stato in servizio di o.p. è:,pubblico ufficiale,ufficiale di pubblica sicurezza,esercente un servizio di pubblica necessità,
"Il funzionario dell’Ufficio Urbanistico che, nottetempo, accede all’Ufficio Cassa e lo svaligia compie:",peculato d’uso,furto,peculato,
L’agente di Polizia che usa episodicamente l’auto di servizio per fini privati commette:,peculato d’uso,appropriazione indebita,danneggiamento,
Il peculato è un:,reato comune,reato contro il patrimonio,reato proprio,
L’errore nel peculato mediante profitto dell’errore altrui deve:,essere spontaneo nella vittima,essere provocato dal reo e determinare un danno di rilevante gravità,essere provocato intenzionalmente dal reo,
Il tentativo di peculato è:,,nell’omissione di un atto legittimo,in un atto illegittimo,A
Domanda 161,generale,,prefettizio,B
Domanda 162,Urbanistica,Igiene pubblica,,C
Domanda 163,necessariamente igiene e sanità,necessariamente ordine e sicurezza pubblica,,C
Domanda 164,rispondendo entro sessanta giorni,avvertendo il superiore gerarchico,,C
Domanda 165,,presuppone un’istanza,presuppone una diffida,A
Domanda 166,è ammissibile,,è ammissibile per il rifiuto e inammissibile per l'omissione,B
Domanda 167,,un reato contravvenzionale,un reato comune,A
Domanda 168,,patrimoniale,ingiusto,A
Domanda 169,,violenza o minaccia,appropriazione di fondi pubblici,A
Domanda 170,contro la personalità dello Stato,,contro la morale,B
,essere compiuto in presenza di almeno una persona estranea al reato,,essere commesso in presenza di almeno due pubblici ufficiali,B
,un reato contenuto in una legge speciale,,un reato proprio,B
,se il pubblico ufficiale ha compiuto un atto invasivo della libertà personale,se il pubblico ufficiale non appartiene alle forze di polizia,,C
,,in luogo pubblico,ovunque,A
,,chiunque,solo il pubblico ufficiale,A
,Onore del pubblico ufficiale,,Dignità del pubblico ufficiale,B
,,ostacolare il compimento di un atto del pubblico ufficiale,ledere la dignità del pubblico ufficiale,A
,la violenza o minaccia è diretta all'adozione di un atto d'ufficio,,la violenza o minaccia è diretta a far omettere un atto d'ufficio,B
,,costringere il pubblico ufficiale a compiere un atto d’ufficio,costringere il pubblico ufficiale ad omettere un atto d’ufficio,A
,risarcisce il danno a favore dell’ente pubblico,,si scusa pubblicamente,B
Domanda 181 Qual è il bene giuridico tutelato nei delitti contro l’amministrazione della giustizia?,,L’interesse che la procedura di notificazione venga correttamente eseguita da parte del soggetto incaricato,L’interesse a che l’imputato non menta nel corso dell’interrogatorio,B
Domanda 182 Quali possono essere i soggetti attivi dei delitti contro l’amministrazione della giustizia?,I reati contro l’amministrazione della giustizia sono stati depenalizzati,"Essendo reati propri, soltanto determinati soggetti che per le funzioni svolte sono posti in particolare relazione con l’interesse tutelato, ovvero pubblico ufficiale ed incaricato di pubblico servizio",,C
"Domanda 183 Il dolo rappresenta il normale criterio dell’imputazione soggettiva. Componenti proprie dell’elemento psicologico del dolo sono rappresentazione e volontà, in ordine alle quali è corretto affermare che...",,Il dolo non è previsto dal nostro ordinamento giuridico,In ogni caso è sufficiente lo stato di dubbio per la configurazione del dolo,A
Domanda 184 Quale titolo del Libro II del codice penale è dedicato ai Delitti contro l’Amministrazione della Giustizia?,,Titolo II,Titolo I,A
Domanda 185 Quando si configura il delitto di omessa denuncia di reato da parte del cittadino?,,Sempre,Mai,A
Domanda 186 La nozione di Pubblico Ufficiale da quale articolo è fornita?,Art. 359 c.p.,,Art. 360 c.p.,B
Domanda 187 Il dolo è specifico quando...,,È sufficiente una previsione generica degli elementi costitutivi del fatto di reato,Non esiste questa particolare forma di dolo,A
Domanda 188 Il dolo è generico...,Non esiste questa particolare forma di dolo,,"Quando oltre alla previsione e volontà di tutti gli elementi che compongono il reato, è necessario che l’agente si sia prefisso anche un fine ulteriore",B
,,Sono quei reati per i quali la legge non richiede nessuna speciale qualifica del soggetto attivo,Non esiste questa tipologia di reati,A
Domanda 190 L’art. 361 c.p. contempla un’aggravante di carattere soggettivo?,,L’art. 361 c.p. non contempla nessuna aggravante di carattere soggettivo,"Sì, al secondo comma, prevedendo che se il colpevole è un ufficiale o un agente di polizia giudiziaria che ha avuto notizia di un reato del quale doveva fare rapporto, la pena è della reclusione fino ad un anno TEST",A
Domanda 191 – Qual è l’oggetto materiale su cui incidono le condotte criminose descritte nel Capo III del Titolo VII del Libro II del Codice Penale?,Nessun oggetto materiale,La persona,Il documento (corretta),C
"Domanda 192 – Cosa si intende, secondo l’orientamento prevalente, per fede pubblica?",La fiducia riposta nell’Autorità Giudiziaria nell’ambito di un procedimento penale,La fiducia che la collettività ripone nelle istituzioni democratiche,Si intende la fiducia che la collettività ripone in determinati oggetti o simboli sulla cui veridicità deve potersi fare affidamento per rendere più sicuro ed affidabile il traffico giuridico ed economico (corretta),C
"Domanda 193 – L’art. 476 c.p., sanzionando la condotta del P.U. che commette falsità materiale in atti pubblici…",Descrive una fattispecie di reato comune,Tale fattispecie non è prevista dal c.p.,Descrive una fattispecie di reato proprio (corretta),C
"Domanda 194 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, contraffa o altera certificati o autorizzazioni amministrative [...] è responsabile del delitto di…",Falsità materiale commessa dal pubblico ufficiale in certificati o autorizzazioni amministrative (corretta),Peculato,Concussione,A
"Domanda 195 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, forma un atto falso o altera un atto vero, è responsabile del reato di…",Falsità ideologica commessa dal Pubblico Ufficiale in atti pubblici,Non viene commessa nessuna fattispecie di reato,Falsità materiale commessa dal pubblico ufficiale in atti pubblici (corretta),C
"Domanda 196 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, supponendo esistente un atto pubblico o privato, ne simula una copia e la rilascia in forma legale [...] è responsabile del delitto di…",Peculato,Falsità materiale commessa dal pubblico ufficiale in copie autentiche di atti pubblici o privati e in attestati del contenuto di atti (corretta),Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,B
"Domanda 197 – Il pubblico ufficiale, che, ricevendo o formando un atto nell’esercizio delle sue funzioni, attesta falsamente che un fatto è stato da lui compiuto [...] è responsabile del delitto di…",Concussione,Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,Falsità ideologica commessa dal pubblico ufficiale in atti pubblici (corretta),C
Domanda 198 – La nozione di Pubblico Ufficiale da quale articolo è fornita?,Art. 360 c.p.,Art. 359 c.p. (corretta),Art. 357 c.p.,B
Domanda 199 – Il delitto di falsità materiale commessa dal Pubblico Ufficiale in atti pubblici da quale articolo è previsto?,Art. 478 c.p.,Art. 476 c.p. (corretta),Il codice penale non contempla tale fattispecie di reato,B
